aabc_id,sc_sm_id,bill_generate_date,auto_bill_type,auto_bill_period,bill_cycle,auto_due_date,auto_grace_period,send_email,send_sms,next_billing_date,next_bill_period,flag,is_active,auto_approve,is_reminder_email,created_by,created_on,updated_by,updated_on,deleted_by,deleted_on,is_deleted,send_whatsapp,sc_sm_name
5829,14898,2025-12-02,MAINTENANCE_CHARGES,12,1,9,0,1,0,2026-01-02,1,0,1,1,0,360395,"2025-10-15 06:23:11",NULL,"2025-12-02 00:08:28",NULL,NULL,0,1,"Casa The Status"
5840,22979,2025-11-02,MAINTENANCE_CHARGES,11,1,29,0,1,0,2026-01-02,1,0,1,1,0,427616,"2025-10-19 11:28:54",427616,"2025-12-02 00:08:30",NULL,NULL,0,1,"Balaji Palms"
5887,13366,2025-11-02,MAINTENANCE_FEE,11,1,16,0,1,0,2026-01-02,1,0,1,1,0,333000,"2025-10-28 08:01:34",NULL,"2025-12-02 00:08:48",NULL,NULL,0,1,"KG Centre Point Owners Association"
5904,21021,2025-11-02,MAINTENANCE_CHARGES,11,1,23,0,1,0,2026-01-02,1,0,1,1,0,382437,"2025-10-29 08:43:00",NULL,"2025-12-02 00:09:09",NULL,NULL,0,1,"Hill View Society Ambegaon Bk"
5907,9156,2025-11-02,MAINTENANCE_CHARGES,11,1,19,0,1,0,2026-01-02,1,0,1,1,0,309361,"2025-10-29 11:18:21",NULL,"2025-12-02 00:09:13",NULL,NULL,0,1,"N G Tivoli CHS Ltd"
5966,18288,2025-11-02,MAINTENANCE,11,1,15,0,1,0,2026-01-02,1,0,1,1,0,332547,"2025-10-31 17:40:58",NULL,"2025-12-02 00:09:18",NULL,NULL,0,1,"DEVNANDAN PARISAR-1"
5997,2080,2025-11-02,MAINTENANCE_CHARGES,11,1,28,0,1,0,2026-01-02,1,0,1,1,0,401837,"2025-11-01 18:24:06",71334,"2026-01-01 17:55:52",NULL,NULL,0,1,"Aditya Royal"
6008,6923,2025-12-02,MAINTENANCE,12,1,8,0,1,0,2026-01-02,1,0,1,1,0,303279,"2025-11-03 06:09:56",NULL,"2025-12-02 00:09:47",NULL,NULL,0,1,"Happy Homes Co-op Housing Society"
6022,19826,2025-12-02,MAINTENANCE_CHARGES,12,1,13,0,1,0,2026-01-02,1,0,1,1,0,324597,"2025-11-04 10:29:50",NULL,"2025-12-02 00:09:53",NULL,NULL,0,1,"Kohinoor Jeeva"
6033,21017,2025-12-02,MAINTENANCE_CHARGES,12,1,8,0,1,0,2026-01-02,1,0,1,0,0,403063,"2025-11-07 12:29:55",NULL,"2025-12-02 00:09:54",NULL,NULL,0,1,"The Crest A1 Building"
6058,23083,2025-12-02,MAINTENANCE_CHARGES,12,1,10,0,1,0,2026-01-02,1,0,1,1,0,432663,"2025-11-14 07:37:37",NULL,"2025-12-02 00:09:56",NULL,NULL,0,1,"Wing C D Shraddha heritage society"
6073,63,2025-12-02,MAINTENANCE,11,1,9,0,0,0,2026-01-02,12,0,1,0,0,382063,"2025-11-18 11:57:39",NULL,"2025-12-02 00:10:02",NULL,NULL,0,0,"Prabhavathi Paramount Block A"
6081,23071,2025-12-02,MAINTENANCE_CHARGES,12,1,15,0,1,0,2026-01-02,1,0,1,1,0,431634,"2025-11-20 10:50:22",NULL,"2025-12-02 00:10:05",NULL,NULL,0,1,"JAYHIND HILLSIDE SAHAKARI GRUHARACHNA SANSTHA MARYADIT"
6090,18353,2025-12-02,MAINTENANCE_CHARGE,11,1,11,0,1,0,2026-01-02,12,0,1,1,0,432752,"2025-11-22 11:05:55",NULL,"2025-12-02 00:10:11",NULL,NULL,0,1,"Venkatadri Palm Groves Apartment"
6104,17316,2025-12-02,MONTHLY_MAINTENANCE_CHARGES,12,1,8,0,1,0,2026-01-02,1,0,1,1,0,282103,"2025-11-26 06:59:49",NULL,"2025-12-02 00:10:17",NULL,NULL,0,1," Casa 7 Chs"
6106,6903,2025-12-02,MAINTENANCE,12,1,8,0,1,0,2026-01-02,1,0,1,1,0,323029,"2025-11-26 07:20:56",NULL,"2025-12-02 00:10:20",NULL,NULL,0,1,"Vardhaman Elegance Co-op. Housing Society"
6156,15009,2025-12-02,MAINTENANCE_BILL,12,1,29,0,1,0,2026-01-02,1,0,1,1,0,340301,"2025-11-30 16:20:21",NULL,"2025-12-02 00:10:25",NULL,NULL,0,1,"Radhe Govindnagar A&L CHSL"
6186,19800,2025-12-02,MAINTENANCE_CHARGES,12,1,14,0,1,0,2026-01-02,1,0,1,1,0,350632,"2025-12-01 16:48:58",NULL,"2025-12-02 00:10:28",NULL,NULL,0,1,"Pandu Hari Enclave Phase 1"
6188,22302,2025-12-02,MAINTENANCE_CHARGES,12,1,10,0,0,0,2026-01-02,1,0,1,0,0,396686,"2025-12-02 04:47:59",NULL,"2025-12-02 10:18:06",NULL,NULL,0,0,Livogue
6189,13318,2026-01-02,MAINTENANCE_CHARGES,1,1,14,0,1,0,2026-01-02,1,0,1,1,0,409845,"2025-12-02 04:48:17",NULL,NULL,NULL,NULL,0,1,"Jubilation CHS"
6190,20183,2026-01-02,MAINTENANCE_CHARGES,12,1,8,5,1,0,2026-01-02,12,0,1,1,0,414200,"2025-12-02 05:37:43",NULL,NULL,NULL,NULL,0,1,"GKRS BLISS - II"
6195,13437,2026-01-02,MAINTENANCE_CHARGES,1,1,18,0,1,0,2026-01-02,1,0,1,1,0,413154,"2025-12-02 07:06:25",NULL,NULL,NULL,NULL,0,1,"Orange Habitat"
6201,19472,2026-01-02,MAINTENANCE_CHARGES,1,1,8,0,1,0,2026-01-02,1,0,1,1,0,268325,"2025-12-03 04:39:40",NULL,NULL,NULL,NULL,0,1,"White Stone Society"
6202,8855,2026-01-02,MAINTENANCE_CHARGES,1,1,14,0,1,0,2026-01-02,1,0,1,1,0,210249,"2025-12-03 05:23:06",NULL,NULL,NULL,NULL,0,1,"Mantra Park View"
6235,3407,2026-01-02,OTHER_MAINTENANCE_CHARGE,1,1,14,0,1,0,2026-01-02,1,0,1,1,0,303280,"2025-12-12 10:25:12",NULL,NULL,NULL,NULL,0,1,"SAI'S LEELA"
